00:00.329  blend            | Read blend: "/Users/dk/Projects/3d render blender 3rd attempt building/.claude/worktrees/lighting/master.blend"
[common] set_lod viewport=LOD1 render=LOD0: 6448 objects, 6 collections
[check] gating on /Users/dk/Projects/3d render blender 3rd attempt building/.claude/worktrees/lighting/master.blend (9679 objects; ORN instanced onto its sockets)
[check] 307 samples x 96 rays in 28.3s

  frame     t |      x      y     z | nearest  what                              |   agl surface                    | speed  leg
    465  19.3 |   73.5   37.2  1.74 |    2.48  ENV_ground_colonnade_walk        |  2.44 ENV_ground_colonnade_walk  |  5.60  shore
    469  19.5 |   73.5   36.3  1.58 |    2.28  ENV_ground_colonnade_walk        |  2.25 ENV_ground_colonnade_walk  |  5.60  shore
    473  19.7 |   73.4   35.4  1.46 |    2.17  ENV_ground_colonnade_walk        |  2.16 ENV_ground_colonnade_walk  |  5.60  shore
    477  19.8 |   73.2   34.5  1.37 |    2.10  ENV_ground_colonnade_walk        |  2.07 ENV_ground_colonnade_walk  |  5.60  shore
    481  20.0 |   73.1   33.5  1.30 |    2.03  ENV_ground_colonnade_walk        |  2.01 ENV_ground_colonnade_walk  |  5.60  shore
    485  20.2 |   72.9   32.6  1.22 |    1.96  ENV_terrain_ground               |  1.92 ENV_ground_colonnade_walk  |  5.60  shore
    489  20.3 |   72.8   31.7  1.17 |    1.88  ENV_ground_colonnade_walk        |  1.86 ENV_ground_colonnade_walk  |  5.60  shore
    493  20.5 |   72.5   30.8  1.14 |    1.85  ENV_ground_colonnade_walk        |  1.84 ENV_ground_colonnade_walk  |  5.60  shore
    497  20.7 |   72.3   29.9  1.12 |    1.86  ENV_terrain_ground               |  1.84 ENV_terrain_ground         |  5.60  shore
    501  20.8 |   72.0   29.0  1.10 |    1.86  ENV_ground_colonnade_walk        |  1.83 ENV_ground_colonnade_walk  |  5.60  shore
    505  21.0 |   71.7   28.2  1.08 |    1.85  ENV_ground_colonnade_walk        |  1.87 ENV_terrain_ground         |  5.60  shore
    509  21.2 |   71.2   27.3  1.07 |    1.87  ENV_terrain_ground               |  1.86 ENV_ground_colonnade_walk  |  5.60  shore
    513  21.3 |   70.8   26.5  1.06 |    1.82  ENV_ground_colonnade_walk        |  1.78 ENV_ground_colonnade_walk  |  5.60  shore
    517  21.5 |   70.5   25.6  1.06 |    1.77  ENV_ground_colonnade_walk        |  1.75 ENV_ground_colonnade_walk  |  5.60  shore
    521  21.7 |   70.3   24.7  1.06 |    1.77  ENV_ground_colonnade_walk        |  1.76 ENV_ground_colonnade_walk  |  5.60  shore
    525  21.8 |   70.3   23.8  1.08 |    1.76  ENV_terrain_ground               |  1.73 ENV_terrain_ground         |  5.60  shore
    529  22.0 |   70.3   22.8  1.09 |    1.74  ENV_terrain_ground               |  1.72 ENV_terrain_ground         |  5.60  shore
    533  22.2 |   70.3   21.9  1.11 |    1.73  ENV_terrain_ground               |  1.71 ENV_terrain_ground         |  5.60  shore
    537  22.3 |   70.3   21.0  1.13 |    1.72  ENV_terrain_ground               |  1.70 ENV_terrain_ground         |  5.60  shore
    541  22.5 |   70.3   20.0  1.14 |    1.72  ENV_terrain_ground               |  1.71 ENV_terrain_ground         |  5.60  shore
    545  22.7 |   70.2   19.1  1.15 |    1.74  ENV_terrain_ground               |  1.73 ENV_terrain_ground         |  5.60  shore
    549  22.8 |   70.1   18.2  1.15 |    1.75  ENV_terrain_ground               |  1.74 ENV_terrain_ground         |  5.60  shore
